country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2023,agniacademy,higher education,linkedin.com/company/agniacademy,ja-ela,agni academy,western,10-Jan,instagram.com/agni.academy
sri lanka,2023,falcon-maintenance-and-constructions,,linkedin.com/company/falcon-maintenance-and-constructions,,falcon maintenance and constructions,western,10-Jan,
sri lanka,2023,mpbc-school,higher education,linkedin.com/company/mpbc-school,rajagiriya,mpbc school of business,western province,Nov-50,mpbc.college
sri lanka,2023,chariot-tours-travels,,linkedin.com/company/chariot-tours-travels,kandy,chariot tours & travels,central,10-Jan,facebook.com/chariot.tt
sri lanka,2023,astaa-mep-consultants,construction,linkedin.com/company/astaa-mep-consultants,,astaa mep consultants (pvt) ltd,,10-Jan,astaa-mep-consultants.com
sri lanka,2023,roky-holdings-pvt-ltd,construction,linkedin.com/company/roky-holdings-pvt-ltd,colombo,roky holdings pvt ltd,western,Nov-50,rokyholdings.com
sri lanka,2023,colombojournal,,linkedin.com/company/colombojournal,colombo,colombo journal,western,10-Jan,colombojournal.online
sri lanka,2022,amberly-place-roasters-coffee-academy,hospitality,linkedin.com/company/amberly-place-roasters-coffee-academy,colombo,amberly place roasters & coffee academy,western,10-Jan,
sri lanka,2022,tradehouselk,wholesale,linkedin.com/company/tradehouselk,colombo,trade house,western,10-Jan,tradehouse.lk
sri lanka,2022,my-wisdom-lanka,,linkedin.com/company/my-wisdom-lanka,,my wisdom lanka,,10-Jan,
sri lanka,2022,apparel-fm,,linkedin.com/company/apparel-fm,colombo,apparel fm,western,Nov-50,apparelfm.com
sri lanka,2022,greencluboffct,environmental services,linkedin.com/company/greencluboffct,kelaniya,green club of fct,western,201-500,
sri lanka,2022,cybersta,,linkedin.com/company/cybersta,colombo,cybersta,western,10-Jan,cybersta.com
sri lanka,2022,def-tesno,,linkedin.com/company/def-tesno,,def tesno,central,10-Jan,
sri lanka,2022,yme-you,professional training & coaching,linkedin.com/company/yme-you,colombo,yme & you,western,10-Jan,
sri lanka,2022,maclooktechnologies,,linkedin.com/company/maclooktechnologies,matara,maclook technologies,southern,10-Jan,
sri lanka,2022,web-genesis-lk,,linkedin.com/company/web-genesis-lk,kandy,web genesis,central,10-Jan,webgenesis.lk
sri lanka,2022,ugsmaw,higher education,linkedin.com/company/ugsmaw,mawanella,undergraduate society of mawanella,sabaragamuwa,51-200,
sri lanka,2022,tecgasoft,,linkedin.com/company/tecgasoft,,tecgasoft,,10-Jan,
sri lanka,2022,foeusj,professional training & coaching,linkedin.com/company/foeusj,ratmalana,"career guidance cell, faculty of engineering, university of sri jayewardenepura",western,201-500,
sri lanka,2022,yourcashflow-lk,higher education,linkedin.com/company/yourcashflow-lk,colombo,yourcashflow.lk,western,10-Jan,yourcashflow.lk
sri lanka,2022,helcoline-lanka-pvt-ltd,,linkedin.com/company/helcoline-lanka-pvt-ltd,kurunegala,helcoline lanka (pvt) ltd,north western,10-Jan,
sri lanka,2022,3p-media,,linkedin.com/company/3p-media,colombo,3p media,western,10-Jan,3p-media.com
sri lanka,2022,crumbledheritage,,linkedin.com/company/crumbledheritage,colombo,crumbled heritage,western,10-Jan,crumbledheritage.com
sri lanka,2022,casa-tikiri,hospitality,linkedin.com/company/casa-tikiri,ahangama,casa tikiri,southern,10-Jan,casatikiri.com
sri lanka,2022,noonedesigners,graphic design,linkedin.com/company/noonedesigners,colombo,no one designers,western,10-Jan,
sri lanka,2022,cutelooksstore,,linkedin.com/company/cutelooksstore,,cutelooks,western,10-Jan,cutelooks.lk
sri lanka,2022,ieee-engineering-in-medicine-biology-society-of-sliit,,linkedin.com/company/ieee-engineering-in-medicine-biology-society-of-sliit,malabe,ieee engineering in medicine & biology society of sliit,western,201-500,site.ieee.org/r10-htc-2018/venue-and-travel/venue/sri-lanka
sri lanka,2022,moonsept,,linkedin.com/company/moonsept,badulla,moonsept,uva,10-Jan,moonsept.com
sri lanka,2022,techieorbit,,linkedin.com/company/techieorbit,matara,techie orbit,southern,10-Jan,techieorbit.com
sri lanka,2022,the-swamp-cottage,hospitality,linkedin.com/company/the-swamp-cottage,galle,the swamp cottage,southern,10-Jan,theswampcottage.com
sri lanka,2022,meghabuild,construction,linkedin.com/company/meghabuild,colombo,megha build international,western,10-Jan,
sri lanka,2022,ludvigo-creations,,linkedin.com/company/ludvigo-creations,colombo,ludvigo creations (pvt) ltd,western,10-Jan,
sri lanka,2022,magazine-shop-sri-lanka,retail,linkedin.com/company/magazine-shop-sri-lanka,colombo,magazine shop sri lanka,western,10-Jan,
sri lanka,2022,blue-whale-media-digital,,linkedin.com/company/blue-whale-media-digital,colombo,blue whale media | digital,western,10-Jan,bluewhalemedia.lk
sri lanka,2022,expertora-inc,staffing and recruiting,linkedin.com/company/expertora-inc,rajagiriya,expertora incorporation,western,10-Jan,expertora.net
sri lanka,2022,the-content-house-lk,,linkedin.com/company/the-content-house-lk,colombo,the content house,western,10-Jan,
sri lanka,2022,margosadp,,linkedin.com/company/margosadp,colombo,margosa development program,western,10-Jan,margosa.org
sri lanka,2022,braincord-logistics-consulting-services,,linkedin.com/company/braincord-logistics-consulting-services,colombo,braincord logistics consulting services,western,10-Jan,
sri lanka,2022,bigcommerce-international-private-limited,retail,linkedin.com/company/bigcommerce-international-private-limited,colombo,bigcommerce international private limited,western,Nov-50,bigcommerce.lk
sri lanka,2022,de-dreams-foundation,,linkedin.com/company/de-dreams-foundation,colombo,de dreams foundation,western,10-Jan,
sri lanka,2022,oio-lk,,linkedin.com/company/oio-lk,kaduwela,oio.lk,western,51-200,oio.lk
sri lanka,2022,hailey-foundation,,linkedin.com/company/hailey-foundation,colombo,hailey foundation,western,Nov-50,haileyfoundationsl.org
sri lanka,2022,mogo-games,computer games,linkedin.com/company/mogo-games,colombo,mogo games,western,Nov-50,
sri lanka,2022,tiver-design-studio,,linkedin.com/company/tiver-design-studio,,tiver design studio,western,10-Jan,sites.google.com/view/tiverdesignstudio/home
sri lanka,2022,dynamicbiz,,linkedin.com/company/dynamicbiz,kandy,dynamic biz,central,10-Jan,
sri lanka,2022,zeus-gymnasium-rehabilitation-private-ltd,,linkedin.com/company/zeus-gymnasium-rehabilitation-private-ltd,nugegoda,zeus gymnasium & rehabilitation private ltd,western,Nov-50,
sri lanka,2022,lahiru-biotech,,linkedin.com/company/lahiru-biotech,,lahiru biotech,central,10-Jan,lahirukavinda.xyz
sri lanka,2022,minutecodelabs,,linkedin.com/company/minutecodelabs,colombo,minutecode labs,western,10-Jan,minutecodelabs.com
sri lanka,2022,almas-equities,financial services,linkedin.com/company/almas-equities,rajagiriya,almas equities,western,Nov-50,almasequities.com
sri lanka,2022,virtual-check-ins,,linkedin.com/company/virtual-check-ins,maharagama,virtual check-ins,western,10-Jan,instagram.com/virtualcheck_ins
sri lanka,2022,canvaacesl,,linkedin.com/company/canvaacesl,,know-how - powerpoint solutions,,10-Jan,
sri lanka,2022,rahula-college-aeronautical-association,,linkedin.com/company/rahula-college-aeronautical-association,matara,rahula college aeronautical association,southern,51-200,rahulacollege.lk
sri lanka,2022,future_kids,higher education,linkedin.com/company/future_kids,kotte,future kids,western,10-Jan,
